id;tidak_baku;baku
1860;bosa;bisa
1861;jali2;jalan jalan
1862;abak;bapak
1863;nich;nih
1864;hakhakhak;haha
1866;bye;selamat tinggal
1867;alhmdllh;alhamdulillah
1868;manebeng;menumpang
1869;emak;memang
1870;ruwet;rumit
1871;transs;trans
1872;bikinpakai;buat pakai
1873;naiek;naik
1874;brizii;brizzi
1875;copy;salin
1876;simple;sederhana
1877;msg2;masing masing
1878;ntr;nanti
1879;dtrack;dilacak
1880;device;perangkat
1881;no;nomor
1882;brpa;berapa
1883;kmn;kemana
1884;paste;tempel
1885;resource;sumber daya
1886;development;pengembangan
1887;real-time;waktu nyata
1888;proper;pantas
1889;app;aplikasi
1890;dbuat;dibuat
1891;mentracking;melacak
1892;sadioan;sediakan
1893;sabek;sebab
1894;sadonyo;semuanya
1895;tarimokasih;terima kasih
1896;mangalo;kenapa pula
1897;kadidemo;mau didemo
1898;diliek;diliat
1899;sudah2;lalu
1900;kadanai;kena
1901;mereh;merah
1902;dek;karena
1903;abisan;menghabiskan
1904;nyalip2;menyalip
1905;body;badan
1906;gede;besar
1907;ketabrak;tertabrak
1908;santuy;santai
1909;prmslahan;permasalahan
1910;difkirkan;difikirkan
1911;bkan;bukan
1912;fsilitas;fasilitas
1913;ditmbah;ditambah
1914;juga;juga
1915;tmbh;tambah
1916;ngurusnya;mengurusnya
1917;ksih;kasih
1918;duitnya;uangnya
1919;slh;salah
1920;nnti;nanti
1921;dksih;dikasih
1922;lngsung;langsung
1923;diadoan;diadakan
1924;dulunyo;dulunya
1925;thnkyou;terima kasih
1926;tindaklanjutnya;tindak lanjutnya
1927;unn;kakak
1928;ewww;ew
1929;mandek;berhenti
1930;tambud;taman budaya
1931;hehhee;hehe
1932;fullday;seharian penuh
1933;jt;juta
1934;batuah;betul
1935;dki;daerah khusus ibukota
1936;daa;abang
1937;jaan;jangan
1938;samoan;samakan
1939;gadang;besar
1940;biaa;biar
1941;gratisny;gratisnya
1942;disinan;disana
1943;penganguran;pengangguran
1944;kmbangkan;kembangkan
1945;udaro;udara
1946;tlmpau;terlampau
1947;pokonya;pokoknya
1948;caronyo;caranya
1949;salasaian;selesaikan
1950;dipikian;dipikirkan
1951;batambah;bertambah
1952;kato;kata
1953;wkwkwkw;wkwk
1954;pakan;pekanbaru
1955;;
1956;ceke;pelit
1957;pliki;pelit
1958;nyoh;saja
1959;skip;lewati
1960;ota;omong
1961;pmk;pemadam kebakaran
1962;males;malas
1963;endors;pemasaran
1964;bales;balas
1965;sblmnya;sebelumnya
1966;ngilangin;menghilangkan
1967;ilang2;hilang
1968;kapai;mau pergi
1969;kapulang;mau pulang
1970;mambayia;membayar
1971;lha;lah
1972;tm;transmart
1973;mantapp;mantap
1974;mempuss;mampus
1975;hentam;hantam
1976;dihentamnya;dihantamnya
1977;baputa2;berputar putar
1978;kaliliang;keliling
1979;malakik;sembari
1980;onda;motor
1981;wkkwkwkkw;wkwk
1982;jammm;jam
1983;ultahnya;ulang tahunnya
1984;raunn;jalan jalan
1985;gratisss;gratis
1986;stngah;setengah
1987;harinyo;harinya
1988;dikecek;dibilang
1989;pilik;pelit
1990;handk;hendak
1991;hahahahah;haha
1992;amuah;mau
1993;liek;balik
1994;puta2;putar putar
1995;gabut;tidak melakukan apa apa
1996;deknyo;karenanya
1997;ngaluaan;mengeluarkan
1998;tanyoan;tanyakan
1999;ujuang;ujung
2000;pembentian;pemberhentian
2001;balewatan;dilewatkan
2002;salamo;selama
2003;tiok2;tiap tiap
2004;batanyo;bertanya
2005;kturun;mau turun
2006;kabwah;kebawah
2007;kateh;keatas
2008;untuang;untung
2009;basiso;bersisa
2010;bajalan;berjalan
2011;gai;pula
2012;masoiyo;masa iya
2013;mamanjokan;memanjakan
2014;agaiah;kasih
2015;kadianyo;biarkanlah
2016;ksihan;kasihan
2017;sma;sama
2018;ngpain;mengapa
2019;mendingg;mending
2020;penuhh;penuh
2021;huhuhuh;huhu
2022;bagunoan;digunakan
2023;jjs;jalan jalan sore
2024;sabaliak;seputaran
2025;carii;cari
2026;angkek;angkat
2027;trasns;trans
2028;tabaian;terbayarkan
2029;sembar;sumatra barat
2030;maav;maaf
2031;sj;saja
2032;fulll;penuh
2033;.ehehhehe;hehe
2034;acra;acara
2035;ayuuukk;ayo
2036;iyoo;iya
2037;mnatab;mantap
2038;bund;bunda
2039;batamu;bertemu
2040;otw;sedang dalam perjalanan
2041;kaan;kan
2042;cemen;penakut
2043;asiik;asik
2044;tuu;itu
2045;bak;bagaimana
2046;kandak;kehendak
2047;baaa;bagaimana
2048;seee;saja
2049;grastisan;gratiskan
2050;jdiii;jadi
2051;dipadang;di padang
2052;skuylah;ayolah
2053;naah;nah
2054;bestiee;sahabat
2055;gatis;gratis
2056;tongah;tengah
2057;hati;hari
2058;ksh;kasih
2059;kapakan;ke pekanbaru
2060;malehh;malas
2061;raon;jalan jalan
2062;yh;yah
2063;sklh;sekolah
2064;vuksin;vaksin
2065;syg;sayang
2066;Haaadddduuuuhhhh;aduh
2067;garatis;gratis
2068;seteng;setengah
2069;adoo;ada
2070;laen;lain
2071;kompooi;konvoi
2072;talok;mampu
2073;harii;hari
2074;trategis;strategis
2075;pamberang;pemarah
2076;jaraknyo;jaraknya
2077;dimuko;didepan
2078;kadai;kedai
2079;dipepet;pepet
2080;apak2;bapak
2081;sarombongan;serombongan
2082;kecek;omong
2083;oppa;abang
2084;v;5
2085;mujua;mujur
2087;cieklah;satupun
2088;dkt;dekat
2089;soalx;soalnya
2090;bangeet;banget
2091;sangaaat;sangat
2092;jauuuhhhh;jauh
2093;mna;mana
2094;ib;imam bonjol
2095;pliss;mohon
2096;ayia;air
2097;ayoo;ayo
2099;markicob;mari kita coba
2100;cuiii;berangkat
2101;sampao;sampai
2102;dilaluli;dilalui
2103;baraliah;beralih
2104;manuruik;menurut
2105;nahh;nah
2106;haah;hah
2107;kluarga;keluarga
2108;tayooo;bus trans padang
2109;kapaaaan;kapan
2110;meman;memang
2111;biya;iya
2112;jakta;jakarta
2113;aplgi;apalagi
2114;jkta;jakarta
2115;jiko;jika
2116;baguss;bagus
2117;protess;protes
2118;trem;kereta
2119;berang;marah
2120;rumahnyo;rumahnya
2121;bro;abang
2122;barakali;berapa kali
2123;koeee;ini
2124;sdah;sudah
2125;meningkatkn;meningkatkan
2126;msyarkat;masyarakat
2127;mindsetny;pola pikirnya
2128;masyarakatnyo;masyarakatnya
2129;pemikirannyo;pemikirannyo
2130;mamakai;memakai
2131;lmo;lama
2133;kad;kartu
2134;only;hanya
2135;anjr;anjir
2136;kmrn2;kemarin
2137;indo;indonesia
2138;complang;jomplang
2139;mslahny;masalahnya
2140;tpi;tetapi
2141;nyangkut;menyangkut
2142;pembebsan;pembebasan
2143;jdiny;jadinya
2144;yaaa;iya
2145;duit;uang
2146;dijualll;dijual
2147;ex;contoh
2148;mw;mau
2149;mindsetnya;pola pikirnya
2150;sbgian;sebagian
2151;seksiny;seksinya
2152;saisuak;kemarin
2153;sbalaunyo;sebelumnya
2154;ttap;tetapi
2155;korupnyo;korupsi
2156;hanyo;hanya
2157;nolak;menolak
2158;pemerintahanya;pemerintahannya
2159;nantinkita;nanti kita
2160;detail;detil
2161;ngopi;meneguk kopi
2162;keknya;sepertinya
2163;nontunai;non tunai
2164;product;produk
2165;jelasinnya;menjelaskannya
2166;merk;merek
2167;ngomong;bicara
2168;bali;beli
2169;dibuek;dibuat
2170;bner;benar
2171;bnget;banget
2172;seharusny;seharusnya
2173;dsna;disana
2174;mksudny;maksudnya
2175;msy;masyarakat
2176;mreka;mereka
2177;scra;secara
2178;trbaru;terbaru
2179;jkrta;jakarta
2180;trnasportasi;transportasi
2181;terintrgrasi;terintegrasi
2182;ngontrak;mengontrak
2183;pejero;pajero
2184;helux;hilux
2185;10thn;sepuluh tahun
2186;dripada;daripada
2187;lamaa;lama
2188;indonesi;indonesia
2189;pdng;padang
2190;masarakat;masyarakat
2191;biskota;bus kota
2192;lansia;lanjut usia
2193;disfabel;difabel
2194;ft;fakultas teknik
2195;baso;bahasa
2196;puta;putar
2197;ujuang2;ujung ujung
2198;barek;berat
2199;talampau;terlampau
2200;mangarati;mengerti
2201;mnyediakan;menyediakan
2202;smua;semua
2203;ewalet;ewallet
2204;bayiee;bayarnya
2205;marasoan;merasakan
2206;senyo;saja
2207;soalnyo;soalnya
2208;expertnyo;ahlinya
2209;mksud;maksud
2210;awk;saya
2211;kto;kata
2212;mncontoh;mencontoh
2213;atw;atau
2214;pembhsan;pembahasan
2215;wk;saya
2216;manyingguang;menyinggung
2217;kajalan;ke jalan
2218;dijapuik;dijemput
2219;snak;saudara
2220;seadanyo;seadanya
2221;salengah;sedikit
2222;taka;seperti
2223;satahun;setahun
2224;nonstop;tidak berhenti
2226;jaktim;jakarta timur
2227;jakbar;jakarta barat
2228;jakut;jakarta utara
2229;jakpus;jakarta pusat
2230;jaksel;jakarta selatan
2231;dilua;diluar
2232;baiak;baik
2233;seamless;mulus
2234;nyambuang;nyambung
2235;mancaliak;melihat
2236;teoris;teoritis
2237;malancong;melancong
2238;konektifitas;konektivitas
2239;tahubuang;terhubung
2240;kama2;kemana mana
2241;dipredikai;diprediksi
2242;tibonyo;ketibaannya
2243;talabiah;terlebih
2244;maleset;memelesetkan
2245;sambuang-an;sambungkan
2247;irang;orang
2248;pangambiran;pegambiran
2249;skali;sekali
2250;batele;bertele
2251;lae;lagi
2252;itula;itulah
2253;baliaklah;kembalikan
2254;samullo;semula
2255;pdgko;padang ini
2256;njaklah;tidaklah
2257;selai;saja lagi
2258;pride;kebanggaan
2259;kenalpot;knalpot
2260;diperkampuangan;diperkampungan
2261;dulugak;dulu tidak
2262;klumpur;kuala lumpur
2263;cendrung;cenderung
2264;sajontrans;saja trans
2265;kabalimbiang;ke belimbing
2267;spt;seperti
2268;stopbus;titik pemberhentian bus
2269;dinatangkan;dimatangkan
2270;paluah;keringat
2271;gajinyo;gajinya
2272;manunggak;menunggak
2273;sikolah;sekolah
2274;nyamukkk;nyamuk
2275;yokk;ayo
2276;yok;ayo
2277;perunan;turun
2278;keatas;ke atas
2279;nafas;napas
2280;abg;abang
2281;system;sistem
2282;puaso;puasa
2283;pundur;tidak berfungsi
2284;kadishub;kepala dinas perhubungan
2285;sebrang;seberang
2286;nambah;tambah
2287;manfaanya;manfaatnya
2288;adanyabtrans;adanya trans
2289;bgmn;bagaimana
2290;ngigau;mengingau
2291;basabuik;disebut
2292;buruak²;buruk
2293;ngetem;mengetem
2294;balimbiang;belimbing
2295;gender;jenis kelamin
2296;seprti;seperti
2297;dsb;dan sebagainya
2298;trafficlight;lampu merah
2299;mhs;mahasiswa
2300;lakalantas;kecelakaan lalu lintas
2301;memerhatikan;memperhatikan
2302;diperioritaskan;diprioritaskan
2303;smga;semoga
2304;smkin;semakin
2305;mrsa;merasa
2306;past;pasti
2307;akn;akan
2308;kemode;ke moda
2309;jlnnya;jalannya
2310;walikota;wali kota
2311;jdwal;jadwal
2312;banaaaaaaaaaaaaaa;banget
2313;akhirnyaaaaaa;akhirnya
2314;slanjutnya;selanjutnya
2315;setujuj;setuju
2316;gpp;tidak apa apa
2317;takaja;terkejar
2318;rate;rute
2319;pdhal;padahal
2320;gada;tidak ada
2321;rapun;ambil
2322;pekerjaa;pekerja
2323;pandapek;pendapat
2324;pembawaannyo;pembawaannya
2325;ado2;ada
2326;mambaok;membawa
2327;dipiliah;dipilih
2328;mako;maka
2329;nabrak;tabrak
2330;mancari;mencari
2332;baganti;berganti
2333;trand;trans
2334;bkn;bukan
2335;pmrintah;pemerintah
2336;srmaksimal;semaksimal
2337;dbantu;dibantu
2338;ngabisin;menghabiskan
2339;busway;bis
2340;ksi;kasih
2341;clue;petunjuk
2342;msih;masih
2343;engga;tidak
2344;point;poin
2345;mbayieaaa;membayar
2346;hrusnyo;harusnya
2347;dsumbar;di sumatera barat
2348;msyarakat;masyarakat
2349;sakola;sekolah
2350;piak;kakak
2352;mksh;terima kasih
2353;nanyo;tanya
2354;marantau;merantau
2355;ngatur;mengatur
2356;wlkot;wali kota
2357;rb;ribu
2358;wli;wali kota
2359;beraisaing;bersaing
2360;kyknya;kayaknya
2361;bapangaruh;berpengaruh
2362;ppadang;padang
2363;making;makin
2364;impo;informasi
2365;lauak;ikan
2366;amburadul;berantakan
2367;aliahan;alihkan
2368;nunggak;menunggak
2369;kumpuan;kumpulkan
2370;tertip;tertib
2371;ngejar;mengejar
2372;kly;kalau
2373;padag;padang
2374;iyaaaa;iya
2375;route;rute
2376;kang;abang
2377;samose;sama saja
2378;mamatian;mematikan
2379;pancarian;pencarian
2380;joo;dengan
2381;subana;sebenarnya
2382;kapelosok;ke pelosok
2383;babae;diambil
2384;dualahnyo;semuanya
2385;skalian;sekalian
2386;korridor;koridor
2387;headline;judul
2388;msuak;masuk
2389;hrsus;harus
2390;urnk;orang
2391;sticker;stiker
2392;menydiakannya;menyediakannya
2393;skrgkan;sekarang kan
2394;angkot²;angkutan kota
2395;tabiang;tabing
2396;panuh;penuh
2397;bayo;buaya
2398;cakak;bertengkar
2399;ladiang;lading
2400;Strowberyyy;stroberi
2401;buayo;buaya
2402;kaluan;keluarkan
2403;bakaluan;dikeluarkan
2404;pepmbeli;membeli
2405;pakain;pakaian
2406;keu;kue
2407;sehatusnya;seharusnya
2408;mandangga;mendengar
2409;galak;ketawa
2410;hahahha;haha
2411;kanarimo;mau menerima
2412;hahahhaha;haha
2413;bapack;bapak
2414;pack;bapak
2415;iiiinnniiii;ini
2416;iiniii;ini
2417;paraaaahhhh;parah
2418;bayie;bayar
2419;rayo;raya
2420;baia;bayar
2421;kagett;kaget
2422;kaka;kakak
2423;tipi;televisi
2424;mntapp;mantap
2425;kelazzz;kelas
2426;mentolerir;toleransi
2427;dzalim;zalim
2428;jgan2;jangan
2429;walikotanya;wali kota
2430;liau;beliau
2431;maambiak;mengambil
2432;bapikia;berpikir
2433;pambayia;membayar
2434;doso;dosa
2435;speak;bicara
2436;sajuta;sejuta
2437;tulak;tolak
2438;emangnya;memangnya
2439;kasaku;ke saku
2440;surang2;masing masing
2441;tagakan;menegakkan
2442;takuik;takut
2443;klah;kalah
2444;nmuh;mau
2445;manambang;beroperasi
2446;astaqfrullah;astagfirullah
2447;ln;luar negeri
2448;kayo;kaya
2449;maliang;maling
2450;ateh;atas
2451;tabayia;terbayarkan
2452;parahhh;parah
2453;iniiiii;ini
2454;brooo;abang
2455;oiii;oi
2456;tabaok;terbawa
2457;yooo;ya
2458;bajalananbjuo;dijalankan juga
2459;kancang;cepat
2460;mampakaan;menyebut orang bodoh
2461;emangg;memang
2462;tetsngga;tetangga
2463;setop;berhenti
2464;ingek;ingat
2465;tabaiak;terbaiklah
2466;bakato;berkata
2467;babaliak;berbalik
2468;jafi;jadi
2469;bacarito;bercerita
2470;barazaki;memiliki rezeki
2471;drinsupir;dari sopir
2472;amiinnn;amin
2473;sorang;sendiri
2474;kasiak;pasir
2475;maliek;melihat
2476;krjoanny;kerjakannya
2477;sehrusnyo;seharusnya
2478;dahuluan;dahulukan
2479;apk2;bapak bapak
2480;klralga;keluarga
2481;manntian;menantikan
2482;sarupiah;se rupiah
2483;apk2nya;bapaknya
2485;lamak2;enak enak
2486;makn;makan
2487;mnum;minum
2488;llk;tidur
2489;kian;kesana
2490;kmri;kemari
2491;dihaulukan;didahulukan
2492;mambyia;membayar
2493;bukk;ibu
2494;sagetek;sedikit
2495;manzalomi;menzalimi
2496;klian;kalian
2497;mandadak;mendadak
2498;ngkoot;angkutan kota
2499;sementar;sementara
2500;berlagu;belagu
2501;cum;cuma
2502;beking;orang belakang
2503;taaniayo;teraniaya
2504;nyimak;menyimak
2505;tarui;terus
2506;mslah;masalah
2507;bongak;bodoh
2508;sato;ikut
2509;kooo;ini
2510;babaia;dibayar
2511;takok;tebak
2512;assiiiaaapppp;siap
2513;heheee;hehe
2514;slow;sabar
2515;zholim;zalim
2516;swas;swasta
2517;waknda;indonesia
2518;korup;korupsi
2519;pernag;pernah
2520;mikian;memikirkan
2521;msasyrakat;masyarakat
2522;baruak2;monyet
2523;kanyang2;kenyang
2524;paruik;perut
2525;batuaaaa;betul
2526;secra;secara
2527;inbox;pesan masuk
2528;elit;elite
2529;besty;sahabat
2530;back;kembali
2531;the;ke
2532;setidaknyo;setidaknya
2533;ustad;ustaz
2534;distop;diberhentikan
2535;malantun;melantun
2536;muncuang;mulut
2537;samanjak;semenjak
2538;balikin;kembalikan
2539;handle;menangani
2540;professional;profesional
2541;blacklist;daftar hitam
2542;byr;bayar
2543;dar;dari sopir
2544;bepass;bypass
2545;kapatang;kemarin
2546;banyia;bayar
2547;kn;kan
2548;mslh;masalah
2549;tras;trans padang
2550;dokeluarkan;dikeluarkan
2551;pending2;tertunda
2552;lowongannkerja;lowongan kerja
2553;kma;kemana
2554;bawahannyo;bawahannya
2555;nyoo;nya
2556;susygkan;sayangkan
2557;dngn;dengan
2558;dblik;dibalik
2559;wowan;wow
2560;slmo;selama
2561;tigo;tiga
2562;digeatiskan;di gratiskan
2563;stiba;siteba
2564;beroperas;beroperasi
2565;bungui;bungus
2566;alhamdulillaaah;alhamdulillah
2567;wiis;wis
2568;akhirny;akhirnya
2569;haltenyaa;haltenya
2570;benerin;diperbaiki
2571;milo;bila
2572;balimbing;belimbing
2573;jaklinko;jaklingo
2574;conecting;terhubung
2575;tuo;tua
2576;nja;nya
2577;bunguss;bungus
2578;healingg;jalan jalan
2579;asikk;asik
2580;muek;muat
2581;angkott;angkutan kota
2582;tuuuu;itu
2583;mangkin;semakin
2584;yuhhuuu;yuhu
2585;maagiahkan;memberikan
2586;mariii;mari
2587;kelennnn;kalian
2588;jua;jual
2589;bestai;sahabat
2590;karojo;kerja
2591;profesionalannya;profesionalitasnya
2592;pemkot;pemerintah kota
2593;transpdang;trans padang
2594;tranportasi;transportasi
2595;insaallah;insya allah
2596;nmuah;boleh
2597;mambao;membawa
2598;mangaleh;berjualan
2599;bgus;bagus
2600;tj;transjakarta
2601;walaw;walau
2602;kalua;keluar
2603;cusss;pergi
2604;murce;sangat murah
2605;semogaaaa;semoga
2606;tambahhin;tambahkan
2607;make;pakai
2609;tar;nanti
2610;akhirnyo;akhirnya
2611;trans;trans padang
2612;cinto;cinta
2613;gamau;tidak mau
2614;mtr;motor
2616;samaa;sama
2617;manih;manis
2618;lahhh;lah
2619;asiikk;asik
2620;ngamuk;mengamuk
2621;kemaren;kemarin
2622;maybe;mungkin
2623;trakhir;terakhir
2624;pailah;pergilah
2625;ongkosny;ongkosnya
2626;padangnyo;padangnya
2627;trobos;terobos
2628;inget;ingat
2629;orangpa;orang apa
2630;bawak;bawa
2631;maaih;masih
2632;safety;aman
2633;psr;pasar
2634;biaar;biar
2635;kkak;kakak
2636;kabarr;kabar
2637;iii;3
2638;kyknyo;kayaknya
2639;hahaaa;haha
2640;cieee;cie
2641;iniii;ini
2642;apak²;bapak
2643;sagadang;sebesar
2644;pagadang;perbesar
2645;basalisiah;berselisih
2646;kteknyo;kecil cuman
2647;biko;nanti
2648;bakok;kenapa kok
2649;menyebrang;menyeberang
2650;sbb;sebab
2651;thank;terima kasih
2652;ngarep;berharap
2653;gp;gunung pangilun
2654;1orwng;1 orang
2655;nerapin;menerapkan
2656;out;keluar
2657;babayo;berbahaya
2658;smnjak;semenjak
2659;kuniang;kuning
2660;rekomanded;direkomendasikan
2661;mnurut;menurut
2662;ksinan;kesana
2663;daeerah;daerah
2664;gunungpangilun;gunung pangilun
2665;bagai;juga
2666;dspat;dapat
2667;gopak;gopay
2668;shopee;shopeepay
2669;tmpat;tempat
2670;nanbung;nabung
2671;smpat;sempat
2672;kartunnya;kartunya
2673;kartuny;kartunya
2674;pkai;pakai
2675;diplank;diplang
2676;badarai;berderai
2677;ahirnya;akhirnya
2678;tmp;tempat
2679;bapikian;dipikirkan
